City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,saint-denis,48.9167,2.3333,294.58,40,0,6.17,FR,1718296144
290,deqen,29.9618,90.7188,285.72,68,66,1.83,CN,1718296145
291,antsiranana,-12.2787,49.2917,297.29,80,57,1.29,MG,1718296146
292,scottburgh,-30.2867,30.7532,291.55,77,74,1.33,ZA,1718296147
293,caleta de carquin,-11.0925,-77.6267,293.07,74,53,4.45,PE,1718296147
294,ribadavia,42.288,-8.1436,295.24,51,99,3.32,ES,1718296148
295,cromwell,41.5951,-72.6454,303.21,49,0,3.09,US,1718296149
296,lamesa,32.7376,-101.951,304.0,51,0,4.65,US,1718295942
297,edeia,-17.3383,-49.9314,303.88,26,0,4.5,BR,1718296150
298,potosi,-19.5836,-65.7531,287.63,21,53,4.12,BO,1718296152
299,bayganin,48.6947,55.8742,302.1,36,100,4.1,KZ,1718296152
300,kapa'a,22.0752,-159.319,297.33,83,40,5.14,US,1718296065
301,pontes e lacerda,-15.2261,-59.3353,307.8,21,52,4.77,BR,1718296101
302,waitara,-38.925,174.25,288.42,86,100,7.86,NZ,1718296154
303,pagar alam,-4.0167,103.2667,294.44,98,100,0.72,ID,1718296056
304,ghat,24.9647,10.1728,313.74,6,0,6.19,LY,1718296156
305,beni saf,35.301,-1.3823,301.31,56,15,5.19,DZ,1718296156
306,khandyga,62.6667,135.6,283.68,92,93,1.58,RU,1718296157
307,papao,-17.75,-149.55,296.97,83,49,8.2,PF,1718296158
308,al jawf,29.5,38.75,309.95,8,0,3.62,SA,1718296158
309,santiago,-33.4569,-70.6483,284.84,75,100,5.66,CL,1718296034
310,gizo,-8.103,156.8419,300.81,81,76,5.95,SB,1718296159
311,pachino,36.7186,15.0907,297.84,66,68,2.42,IT,1718296160
312,illizi,26.4833,8.4667,318.04,5,6,8.86,DZ,1718296160
313,quebo,11.3333,-14.9333,306.44,48,99,5.25,GW,1718296161
314,bridgewater,44.3835,-64.5155,297.65,67,18,8.23,CA,1718296161
315,tobruk,32.0836,23.9764,303.44,40,1,3.4,LY,1718296162
316,sola,-13.8833,167.55,299.04,80,74,6.48,VU,1718296162
317,pingliang,35.5392,106.6861,293.0,54,98,2.87,CN,1718296162
318,heroica guaymas,27.9333,-110.9,301.8,79,75,5.14,MX,1718296163
319,cidade velha,14.9167,-23.6167,301.41,54,20,10.29,CV,1718296163
320,likiep,9.8251,169.3107,301.24,79,100,9.36,MH,1718296164
321,port augusta,-32.5,137.7667,288.88,54,95,4.95,AU,1718296164
322,lazaro cardenas,17.9583,-102.2,303.39,57,100,1.46,MX,1718296086
323,shihezi,44.3,86.0333,292.93,80,100,3.98,CN,1718296165
324,takoradi,4.8845,-1.7554,300.6,76,51,5.63,GH,1718296166
325,magistral'nyy,56.1725,107.4458,286.69,83,69,1.17,RU,1718296166
326,kushiro,42.975,144.3747,287.68,94,75,2.06,JP,1718296166
327,dalbandin,28.8947,64.4101,309.47,9,1,3.48,PK,1718296167
328,macka,40.8186,39.6136,297.79,75,0,1.05,TR,1718296167
329,alice springs,-23.7,133.8833,282.9,81,0,3.09,AU,1718296168
330,mata-utu,-13.2816,-176.1745,300.91,80,7,3.65,WF,1718296168
331,kasongo-lunda,-6.4667,16.8167,305.96,31,56,1.38,CD,1718296169
332,kas,36.2018,29.6377,309.18,34,0,3.75,TR,1718296170
333,sungai raya,0.7,108.9,298.81,89,99,1.38,ID,1718296170
334,leua,48.2156,18.6071,290.93,73,98,1.61,SK,1718296171
335,cromer,52.9312,1.2989,289.34,75,100,5.16,GB,1718296172
336,sosnovo-ozerskoye,52.5249,111.5418,282.05,89,96,1.11,RU,1718296172
337,isangel,-19.55,169.2667,295.04,75,1,3.28,VU,1718296173
338,chulym,55.0997,80.9572,291.55,82,9,2.0,RU,1718296173
339,kaa-khem,51.6833,94.7333,293.93,33,30,2.82,RU,1718296174
340,oyem,1.5995,11.5793,298.65,85,98,0.76,GA,1718296174
341,ishigaki,24.3448,124.1572,301.22,100,40,5.14,JP,1718296175
342,mokhsogollokh,61.4681,128.9203,283.83,86,39,1.26,RU,1718296175
343,aquin,18.2833,-73.4,302.19,71,69,3.84,HT,1718296176
344,prado,-17.3411,-39.2208,299.55,70,28,4.4,BR,1718296177
345,basavana bagevadi,16.5833,75.9667,298.54,74,31,8.54,IN,1718296178
346,andergrove,-21.0833,149.1833,284.62,65,0,3.19,AU,1718296179
347,saint-francois,46.4154,3.9054,294.49,45,0,2.57,FR,1718296179
348,kota belud,6.351,116.4305,298.7,85,71,2.35,MY,1718296180
349,preili,56.2944,26.7246,290.41,60,52,3.87,LV,1718296181
350,shelburne,44.0787,-80.2041,298.57,86,100,6.47,CA,1718296182
351,brak,27.5496,14.2714,315.97,6,0,4.26,LY,1718296183
352,mbeni,-11.5014,43.3775,296.08,68,37,5.46,KM,1718296183
353,la plata,-34.9215,-57.9545,295.18,54,100,8.03,AR,1718296098
354,maua,-23.6678,-46.4614,302.04,77,0,4.44,BR,1718295975
355,lompoc,34.6391,-120.4579,291.87,86,100,0.89,US,1718296185
356,sedalia,38.7045,-93.2283,302.1,61,0,6.17,US,1718295783
357,majene,-3.5403,118.9707,297.91,88,99,1.82,ID,1718296186
358,tsiombe,-25.3,45.4833,293.63,90,12,3.63,MG,1718296187
359,taunggyi,20.7833,97.0333,292.87,95,86,2.42,MM,1718296188
360,ust-nera,64.5667,143.2,283.77,85,100,1.66,RU,1718296188
361,ludza,56.55,27.7167,291.67,47,56,1.67,LV,1718296189
362,valparaiso,-33.0393,-71.6273,288.15,89,100,10.29,CL,1718296034
